# Weather station Belgrade, Serbia, WMO_ID=13274,selection from 03.04.2020 till 31.08.2020, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=13274&lang=en
#
"Local time in Belgrade";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"27.08.2020 16:00";"28.1";"749.0";"760.3";"-1.6";"34";"Wind blowing from the north";"1";"";"";"20–30%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole, but the continuous veil does not reach 45 degrees above the horizon.";"50.0";"10.6";"";"";"";"";"";"";
"27.08.2020 15:00";"28.3";"749.5";"760.7";"";"33";"Wind blowing from the north-west";"2";"";"";"10%  or less, but not 0";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"50.0";"10.6";"";"";"";"";"";"";
"27.08.2020 14:00";"28.5";"749.8";"761.0";"";"35";"Wind blowing from the west-northwest";"1";"";"";"40%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"50.0";"11.5";"";"";"";"";"";"";
"27.08.2020 13:00";"27.8";"750.6";"761.8";"-0.4";"37";"Wind blowing from the west-northwest";"1";"";"";"10%  or less, but not 0";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"40.0";"11.8";"No precipitation";"6";"";"";"";"";
"27.08.2020 12:00";"26.8";"750.7";"762.0";"";"35";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"40.0";"10.2";"";"";"";"";"";"";
"27.08.2020 11:00";"26.6";"750.9";"762.2";"";"37";"Wind blowing from the north-northeast";"2";"";"";"20–30%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"";"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"40.0";"10.6";"";"";"";"";"";"";
"27.08.2020 10:00";"26.3";"751.0";"762.4";"0.4";"36";"Wind blowing from the north-west";"2";"";"";"40%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"30.0";"10.0";"";"";"";"";"";"";
"27.08.2020 09:00";"23.6";"750.9";"762.3";"";"52";"Wind blowing from the north-northeast";"2";"";"";"20–30%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"30.0";"13.0";"";"";"";"";"";"";
"27.08.2020 08:00";"21.5";"750.8";"762.3";"";"70";"Wind blowing from the west-northwest";"1";"";"";"50%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"20.0";"15.7";"";"";"";"";"";"";
"27.08.2020 07:00";"19.2";"750.6";"762.2";"1.3";"80";"Wind blowing from the west";"1";"";"";"20–30%.";" ";"";"";"17.0";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"20.0";"15.7";"No precipitation";"12";"Surface of ground moist.";"14.0";"";"";
"27.08.2020 06:00";"17.6";"750.5";"762.1";"";"85";"Wind blowing from the west";"1";"";"";"20–30%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"20.0";"15.0";"";"";"";"";"";"";
"27.08.2020 05:00";"17.2";"749.8";"761.4";"";"86";"Wind blowing from the south";"1";"";"";"20–30%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"20.0";"14.8";"";"";"";"";"";"";
"27.08.2020 04:00";"17.5";"749.3";"760.6";"0.8";"85";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"20.0";"14.9";"";"";"";"";"";"";
"27.08.2020 03:00";"17.9";"749.0";"760.4";"";"76";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"20.0";"13.6";"";"";"";"";"";"";
"27.08.2020 02:00";"18.8";"748.9";"760.3";"";"70";"Wind blowing from the north-northwest";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"20.0";"13.1";"";"";"";"";"";"";
"27.08.2020 01:00";"18.7";"748.5";"760.6";"-0.1";"70";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"20.0";"13.1";"No precipitation";"6";"";"";"";"";
"27.08.2020 00:00";"19.6";"748.3";"759.7";"";"66";"Wind blowing from the south-southeast";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"20.0";"13.1";"";"";"";"";"";"";
"26.08.2020 23:00";"20.6";"748.6";"759.8";"";"65";"Wind blowing from the south-east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"20.0";"13.8";"";"";"";"";"";"";
"26.08.2020 22:00";"21.5";"748.6";"759.9";"0.0";"57";"Wind blowing from the south-east";"2";"";"";"20–30%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"20.0";"12.5";"";"";"";"";"";"";
"26.08.2020 21:00";"22.3";"748.6";"759.9";"";"59";"Wind blowing from the south-east";"1";"";"";"60%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrostratus not progressively invading the sky and not entirely covering it.";"20.0";"13.9";"";"";"";"";"";"";
"26.08.2020 20:00";"23.2";"748.8";"760.0";"";"56";"Wind blowing from the south-east";"1";"";"";"70 – 80%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole; the continuous veil extends more than 45 degrees above the horizon, without the sky being totally covered.";"20.0";"13.9";"";"";"";"";"";"";
"26.08.2020 19:00";"24.4";"748.6";"759.8";"-0.3";"54";"Wind blowing from the south-southeast";"2";"";"";"70 – 80%.";" ";"";"";"";"29.3";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole; the continuous veil extends more than 45 degrees above the horizon, without the sky being totally covered.";"20.0";"14.4";"No precipitation";"12";"";"";"";"";
"26.08.2020 18:00";"25.6";"748.6";"759.8";"";"50";"Wind blowing from the south";"2";"";"";"70 – 80%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole; the continuous veil extends more than 45 degrees above the horizon, without the sky being totally covered.";"20.0";"14.4";"";"";"";"";"";"";
"26.08.2020 17:00";"26.6";"748.9";"760.1";"";"44";"Wind blowing from the south";"2";"";"";"20–30%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"20.0";"13.4";"";"";"";"";"";"";
"26.08.2020 16:00";"28.3";"748.9";"760.2";"-1.1";"39";"Wind blowing from the south";"2";"";"";"50%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole, but the continuous veil does not reach 45 degrees above the horizon.";"20.0";"13.2";"";"";"";"";"";"";
"26.08.2020 15:00";"28.0";"749.0";"760.3";"";"40";"Wind blowing from the south";"2";"";"";"60%.";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"10%  or less, but not 0";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole, but the continuous veil does not reach 45 degrees above the horizon.";"20.0";"13.2";"";"";"";"";"";"";
"26.08.2020 14:00";"28.9";"749.3";"760.6";"";"36";"Wind blowing from the south-southeast";"2";"";"";"60%.";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"10%  or less, but not 0";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus uncinus or fibratus, or both, progressively invading the sky; they generally thicken as a whole.";"20.0";"12.5";"";"";"";"";"";"";
"26.08.2020 13:00";"27.6";"750.0";"761.2";"-0.7";"41";"Wind blowing from the south-west";"1";"";"";"20–30%.";" ";"";"";"";"";"";"";"1000-1500";"";"";"20.0";"13.1";"No precipitation";"6";"";"";"";"";
"26.08.2020 12:00";"26.8";"750.2";"761.5";"";"48";"Wind blowing from the south-southeast";"1";"";"";"20–30%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"20.0";"14.8";"";"";"";"";"";"";
"26.08.2020 11:00";"26.3";"750.6";"761.9";"";"44";"Wind blowing from the south";"2";"";"";"20–30%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"20.0";"13.0";"";"";"";"";"";"";
"26.08.2020 10:00";"25.6";"750.7";"762.2";"0.2";"47";"Wind blowing from the south-southeast";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"20.0";"13.6";"";"";"";"";"";"";
"26.08.2020 09:00";"23.0";"750.8";"762.3";"";"65";"Wind blowing from the west";"1";"";"";"20–30%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"20.0";"16.0";"";"";"";"";"";"";
"26.08.2020 08:00";"20.8";"750.7";"762.2";"";"68";"Wind blowing from the south";"1";"";"";"20–30%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"20.0";"14.7";"";"";"";"";"";"";
"26.08.2020 07:00";"18.9";"750.5";"762.2";"0.0";"75";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"15.9";"";"";"";"";"";"";"20.0";"14.3";"No precipitation";"12";"Surface of ground moist.";"12.0";"";"";
"26.08.2020 06:00";"16.9";"750.5";"762.2";"";"86";"Wind blowing from the south-southeast";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"20.0";"14.5";"";"";"";"";"";"";
"26.08.2020 05:00";"15.9";"750.4";"762.1";"";"93";"Wind blowing from the south-southeast";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"30.0";"14.8";"";"";"";"";"";"";
"26.08.2020 04:00";"15.9";"750.5";"762.2";"-0.2";"93";"Wind blowing from the south-southeast";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"30.0";"14.8";"";"";"";"";"";"";
"26.08.2020 03:00";"16.4";"750.5";"762.2";"";"94";"Wind blowing from the south-southeast";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"30.0";"15.5";"";"";"";"";"";"";
"26.08.2020 02:00";"17.0";"750.5";"762.2";"";"90";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"30.0";"15.3";"";"";"";"";"";"";
"26.08.2020 01:00";"17.6";"750.7";"762.3";"0.2";"86";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"30.0";"15.3";"No precipitation";"6";"";"";"";"";
"26.08.2020 00:00";"18.0";"750.7";"762.3";"";"85";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"30.0";"15.5";"";"";"";"";"";"";
"25.08.2020 23:00";"18.5";"750.8";"762.4";"";"83";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"30.0";"15.5";"";"";"";"";"";"";
"25.08.2020 22:00";"18.9";"750.5";"762.1";"0.8";"82";"Wind blowing from the south-southwest";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"30.0";"15.7";"";"";"";"";"";"";
"25.08.2020 21:00";"19.2";"750.2";"761.8";"";"82";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"30.0";"16.0";"";"";"";"";"";"";
"25.08.2020 20:00";"20.4";"750.1";"761.7";"";"78";"Wind blowing from the west-southwest";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"30.0";"16.5";"";"";"";"";"";"";
"25.08.2020 19:00";"20.8";"749.7";"761.2";"0.0";"75";"Wind blowing from the south-west";"1";"";"";"20–30%.";"Clouds generally dissolving or becoming less developed. ";"Rain.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"";"24.3";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"30.0";"16.2";"8.0";"12";"";"";"";"";
"25.08.2020 18:00";"22.2";"749.5";"760.9";"";"70";"Wind blowing from the south-west";"1";"";"";"40%.";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"10%  or less, but not 0";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"20.0";"16.5";"";"";"";"";"";"";
"25.08.2020 17:00";"23.6";"749.5";"760.9";"";"64";"Wind blowing from the west-southwest";"1";"";"";"40%.";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"20.0";"16.3";"";"";"";"";"";"";
"25.08.2020 16:00";"24.2";"749.7";"761.1";"-0.5";"61";"Wind blowing from the west-northwest";"1";"";"";"50%.";" ";"";"";"";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"50%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"15.0";"16.3";"";"";"";"";"";"";
"25.08.2020 15:00";"23.4";"749.8";"761.2";"";"64";"Wind blowing from the west";"2";"";"";"60%.";" ";"";"";"";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"50%.";"1000-1500";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"15.0";"16.1";"";"";"";"";"";"";
"25.08.2020 14:00";"21.6";"749.8";"761.2";"";"77";"Wind blowing from the west";"2";"";"";"70 – 80%.";" ";"";"";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"70 – 80%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"12.0";"17.4";"";"";"";"";"";"";
"25.08.2020 13:00";"19.2";"750.2";"761.8";"0.3";"82";"Wind blowing from the west-southwest";"1";"";"";"90  or more, but not 100%";"State of sky on the whole unchanged. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"90  or more, but not 100%";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"16.1";"8.0";"6";"";"";"";"";
"25.08.2020 12:00";"17.8";"750.3";"761.9";"";"89";"Wind blowing from the west";"1";"";"";"100%.";" ";"";"";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"100%.";"600-1000";"";"";"8.0";"16.0";"";"";"";"";"";"";
"25.08.2020 11:00";"18.2";"750.2";"761.8";"";"88";"Wind blowing from the west";"1";"";"";"100%.";"Rain (not freezing) not falling as shower(s). ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"100%.";"600-1000";"";"";"8.0";"16.2";"";"";"";"";"";"";
"25.08.2020 10:00";"17.1";"749.9";"761.6";"0.3";"93";"Wind blowing from the north-west";"1";"";"";"100%.";"Rain, not freezing, intermittent, slight at time of observation. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"100%.";"600-1000";"";"";"8.0";"16.0";"";"";"";"";"";"";
"25.08.2020 09:00";"16.9";"749.7";"761.4";"";"95";"Wind blowing from the north-northeast";"1";"";"";"100%.";"Rain, not freezing, continuous, slight at time of observation. ";"Rain.";"Rain.";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"100%.";"600-1000";"";"";"6.0";"16.1";"";"";"";"";"";"";
"25.08.2020 08:00";"16.6";"750.3";"762.0";"";"96";"Wind blowing from the north";"2";"";"";"100%.";"Rain, not freezing, continuous, moderate at time of observation. ";"Rain.";"Rain.";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"100%.";"300-600";"";"";"4.0";"16.0";"";"";"";"";"";"";
"25.08.2020 07:00";"16.7";"749.6";"761.2";"2.6";"96";"Wind blowing from the north-northwest";"2";"";"";"100%.";"Rain, not freezing, continuous, moderate at time of observation. ";"Thunderstorm(s) with or without precipitation.";"Shower(s).";"16.7";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"100%.";"300-600";"";"";"4.0";"16.0";"7.0";"12";"Surface of ground moist.";"17.0";"";"";
"25.08.2020 06:00";"18.1";"748.9";"760.6";"";"83";"Wind blowing from the west-northwest";"2";"";"";"100%.";"Rain, not freezing, continuous, slight at time of observation. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"100%.";"600-1000";"";"";"12.0";"15.1";"";"";"";"";"";"";
"25.08.2020 05:00";"19.9";"748.2";"759.7";"";"70";"Wind blowing from the west-northwest";"2";"";"";"90  or more, but not 100%";"Rain, not freezing, intermittent, slight at time of observation. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"90  or more, but not 100%";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"20.0";"14.3";"";"";"";"";"";"";
