,Action 1,Action 2,Action 3,Action 4,Action 5,Action 6,Action 7,Action 8,Action 9,Action 10,Action 11,Action 12,Action 13,Action 14,Action 15,Action 16,Action 17,Action 18,Action 19,Action 20,Action to Next Point
999,3,0,3,-2,-3,0,-1,2,1,1,-2,-2,1,2,2,-1,1,-3,-2,0,1
1000,1,0,-1,2,2,2,2,0,-1,2,3,3,3,-3,-3,-2,-2,-2,-2,-2,-2
1001,3,2,0,-2,-1,0,2,2,2,-3,-3,-3,-2,2,1,-1,-2,-2,-2,2,3
1002,0,1,-1,-2,-1,-2,-3,-2,3,3,3,-3,-3,-3,-3,-3,0,2,-2,-3,-3
1003,-3,-3,2,2,0,1,1,2,2,3,2,1,-3,-3,-3,1,0,-1,-2,-2,-3
1004,1,2,2,0,-2,-2,-2,-2,1,2,2,0,-2,-2,-2,0,2,3,2,0,-2
1005,0,-2,-2,1,2,2,2,-2,-2,-2,3,3,3,3,-2,-3,-3,-3,2,2,-1
1006,1,2,3,0,-2,-2,-2,1,3,2,-1,-2,-2,-2,2,2,2,1,0,-3,-2
1007,-2,-2,-2,-1,1,2,0,-1,-2,-1,1,1,0,-1,-2,-2,-2,1,2,2,2
1008,-2,-2,-2,1,2,1,-1,-2,-2,0,2,2,0,-2,-1,-1,2,2,3,2,2
1009,0,-3,-1,-2,0,1,-2,-2,-2,-2,2,3,2,2,0,-3,-2,2,2,2,0
1010,2,0,-2,-2,-2,0,2,2,2,-2,-2,-1,1,1,1,-1,-2,-2,-2,-1,-1
1011,2,-2,-3,-3,-3,-3,0,-1,-3,-3,-3,-1,-2,0,2,2,2,2,0,-1,-1
1012,-2,-2,-2,2,2,2,2,2,1,0,-1,2,2,2,2,0,-1,2,3,3,3
1013,-1,2,1,1,-1,-2,-2,2,2,2,2,-2,-2,0,1,2,2,-2,-2,-2,3
1014,-2,-1,-1,2,2,2,3,2,2,2,1,1,1,-2,-2,-2,-1,3,3,2,0
1015,2,-3,-3,-3,-2,-2,-1,0,-2,-1,-1,2,2,2,3,2,2,2,1,1,1
1016,-2,-2,-2,1,3,2,-1,-2,-2,-2,2,2,2,1,0,-3,-2,-1,2,2,1
1017,3,-3,-3,-3,-3,-3,0,2,-2,-3,-3,-3,-3,0,-1,-3,-3,-3,-1,-2,0
1018,-1,-1,3,3,3,2,-2,-3,1,1,-1,-1,-3,-3,-2,0,2,3,2,2,-1
1019,0,-2,-1,0,2,2,2,2,1,-1,-1,0,2,1,-2,-2,-2,1,1,1,0
