Date,Country,Cases,Cumulative Cases,Deaths,Cumulative Deaths,Tests,Cumulative Tests,Meeting Friends/Family (indoor),Meeting Friends/Family (outdoor),Domestic Travel,International Travel,Cafes and Restaurants,Pubs and bars,Sports and leisure,Schools Closure,Temperature,Humidity,Nursing & Care Home Visit
07/01/2020,1,60,2268,,0,,0,,,,,,,,,3,1,
07/02/2020,1,65,2333,,0,,0,,,,,,,,,3,1,
07/03/2020,1,72,2405,,0,,0,,,,,,,,,3,1,
07/04/2020,1,80,2485,,0,,0,,,,,,,,,3,1,
07/05/2020,1,77,2562,,0,,0,,,,,,,,,3,1,
07/06/2020,1,71,2633,,0,,0,,,,,,,,,3,1,
07/07/2020,1,73,2706,,0,,0,,,,,,,,,3,1,
07/08/2020,1,71,2777,,0,,0,,,,,,,,,3,1,
07/09/2020,1,74,2851,,0,,0,,,,,,,,,3,1,
07/10/2020,1,80,2931,,0,,0,,,,,,,,,3,1,
07/11/2020,1,89,3020,,0,,0,,,,,,,,,3,1,
07/12/2020,1,88,3108,,0,,0,,,,,,,,,3,1,
7/13/2020,1,98,3206,,0,,0,,,,,,,,,3,1,
7/14/2020,1,99,3305,,0,,0,,,,,,,,,3,1,
7/15/2020,1,99,3404,,0,,0,,,,,,,,,3,1,
7/16/2020,1,93,3497,,0,,0,,,,,,,,,3,1,
7/17/2020,1,80,3577,,0,,0,,,,,,,,,3,1,
7/18/2020,1,85,3662,,0,,0,,,,,,,,,3,1,
7/19/2020,1,80,3742,,0,,0,,,,,,,,,3,1,
7/20/2020,1,88,3830,,0,,0,,,,,,,,,3,1,
7/21/2020,1,94,3924,,0,,0,,,,,,,,,3,1,
7/22/2020,1,90,4014,,0,,0,,,,,,,,,3,1,
7/23/2020,1,98,4112,,0,,0,,,,,,,,,3,1,
7/24/2020,1,93,4205,,0,,0,,,,,,,,,3,1,
7/25/2020,1,93,4298,,0,,0,,,,,,,,,3,1,
7/26/2020,1,99,4397,,0,,0,,,,,,,,,3,1,
7/27/2020,1,104,4501,,0,,0,,,,,,,,,3,1,
7/28/2020,1,120,4621,,0,,0,,,,,,,,,3,1,
7/29/2020,1,114,4735,,0,,0,,,,,,,,,3,1,
7/30/2020,1,105,4840,,0,,0,,,,,,,,,3,1,
7/31/2020,1,93,4933,,0,,0,,,,,,,,,3,1,
08/01/2020,1,97,5030,,0,,0,,,,,,,,,3,1,
08/02/2020,1,108,5138,,0,,0,,,,,,,,,3,1,
08/03/2020,1,114,5252,,0,,0,,,,,,,,,3,1,
08/04/2020,1,118,5370,,0,,0,,,,,,,,,3,1,
08/05/2020,1,124,5494,,0,,0,,,,,,,,,3,1,
08/06/2020,1,132,5626,,0,,0,,,,,,,,,3,1,
08/07/2020,1,133,5759,,0,,0,,,,,,,,,3,1,
08/08/2020,1,129,5888,,0,,0,,,,,,,,,3,1,
08/09/2020,1,132,6020,,0,,0,,,,,,,,,3,1,
08/10/2020,1,128,6148,,0,,0,,,,,,,,,3,1,
08/11/2020,1,134,6282,,0,,0,,,,,,,,,3,1,
08/12/2020,1,135,6417,,0,,0,,,,,,,,,3,1,
8/13/2020,1,145,6562,,0,,0,,,,,,,,,3,1,
8/14/2020,1,147,6709,,0,,0,,,,,,,,,3,1,
8/15/2020,1,148,6857,,0,,0,,,,,,,,,3,1,
8/16/2020,1,136,6993,,0,,0,,,,,,,,,3,1,
8/17/2020,1,127,7120,,0,,0,,,,,,,,,3,1,
8/18/2020,1,132,7252,,0,,0,,,,,,,,,3,1,
8/19/2020,1,144,7396,,0,,0,,,,,,,,,3,1,
8/20/2020,1,156,7552,,0,,0,,,,,,,,,3,1,
8/21/2020,1,155,7707,,0,,0,,,,,,,,,3,1,
8/22/2020,1,154,7861,,0,,0,,,,,,,,,3,1,
8/23/2020,1,153,8014,,0,,0,,,,,,,,,3,1,
8/24/2020,1,162,8176,,0,,0,,,,,,,,,3,1,
8/25/2020,1,162,8338,,0,,0,,,,,,,,,3,1,
8/26/2020,1,166,8504,,0,,0,,,,,,,,,3,1,
8/27/2020,1,160,8664,,0,,0,,,,,,,,,3,1,
8/28/2020,1,145,8809,,0,,0,,,,,,,,,3,1,
8/29/2020,1,117,8926,,0,,0,,,,,,,,,3,1,
8/30/2020,1,99,9025,,0,,0,,,,,,,,,3,1,
8/31/2020,1,106,9131,,0,,0,,,,,,,,,3,1,
04/03/2020,2,447,447,,,,,,,,,,,,,2,0,
04/04/2020,2,352,799,,0,,0,,,,,,,,,2,1,
04/05/2020,2,285,1084,,0,,0,,,,,,,,,2,0,
04/06/2020,2,257,1341,,0,,0,,,,,,,,,2,0,
04/07/2020,2,291,1632,,0,,0,,,,,,,,,2,0,
04/08/2020,2,329,1961,,0,,0,,,,,,,,,2,0,
04/09/2020,2,317,2278,,0,,0,,,,,,,,,2,0,
04/10/2020,2,307,2585,,0,,0,,,,,,,,,2,1,
04/11/2020,2,279,2864,,0,,0,,,,,,,,,2,0,
04/12/2020,2,230,3094,,0,,0,,,,,,,,,2,1,
4/13/2020,2,161,3255,,0,,0,,,,,,,,,2,1,
4/14/2020,2,142,3397,,0,,0,,,,,,,,,1,1,
4/15/2020,2,144,3541,,0,,0,,,,,,,,,2,0,
4/16/2020,2,135,3676,,0,,0,,,,,,,,,2,0,
4/17/2020,2,123,3799,,0,,0,,,,,,,,,3,0,
4/18/2020,2,98,3897,,0,,0,,,,,,,,,2,1,
4/19/2020,2,87,3984,,0,,0,,,,,,,,,2,1,
4/20/2020,2,60,4044,,0,,0,,,,,,,,,2,0,
4/21/2020,2,57,4101,,0,,0,,,,,,,,,2,0,
4/22/2020,2,71,4172,,0,,0,,,,,,,,,2,0,
4/23/2020,2,68,4240,,0,,0,,,,,,,,,2,0,
