Region No,Group No,Action 1,Action 2,Action 3,Action 4,Action 5,Action 6,Action 7,Action 8,Action 9,Action 10,Action 11,Action 12,Action 13,Action 14,Action 15,Action 16,Action 17,Action 18,Action 19,Action 20,Action 21,Action 22,Action 23,Action 24,Action 25,Action to Next Point
1,26,-2,-2,-1,0,2,1,2,0,-2,-3,-2,-2,-2,-2,-3,-3,-1,2,2,1,-2,-2,1,2,2,2
1,27,-2,-1,0,2,1,2,0,-2,-3,-2,-2,-2,-2,-3,-3,-1,2,2,1,-2,-2,1,2,2,2,2
1,28,-1,0,2,1,2,0,-2,-3,-2,-2,-2,-2,-3,-3,-1,2,2,1,-2,-2,1,2,2,2,2,2
1,29,0,2,1,2,0,-2,-3,-2,-2,-2,-2,-3,-3,-1,2,2,1,-2,-2,1,2,2,2,2,2,-2
1,30,2,1,2,0,-2,-3,-2,-2,-2,-2,-3,-3,-1,2,2,1,-2,-2,1,2,2,2,2,2,-2,-2
1,31,1,2,0,-2,-3,-2,-2,-2,-2,-3,-3,-1,2,2,1,-2,-2,1,2,2,2,2,2,-2,-2,-3
1,32,2,0,-2,-3,-2,-2,-2,-2,-3,-3,-1,2,2,1,-2,-2,1,2,2,2,2,2,-2,-2,-3,2
1,33,0,-2,-3,-2,-2,-2,-2,-3,-3,-1,2,2,1,-2,-2,1,2,2,2,2,2,-2,-2,-3,2,-2
1,34,-2,-3,-2,-2,-2,-2,-3,-3,-1,2,2,1,-2,-2,1,2,2,2,2,2,-2,-2,-3,2,-2,-2
1,35,-3,-2,-2,-2,-2,-3,-3,-1,2,2,1,-2,-2,1,2,2,2,2,2,-2,-2,-3,2,-2,-2,1
1,36,-2,-2,-2,-2,-3,-3,-1,2,2,1,-2,-2,1,2,2,2,2,2,-2,-2,-3,2,-2,-2,1,2
1,37,-2,-2,-2,-3,-3,-1,2,2,1,-2,-2,1,2,2,2,2,2,-2,-2,-3,2,-2,-2,1,2,3
