Region No,Group No,Action 1,Action 2,Action 3,Action 4,Action 5,Action 6,Action 7,Action 8,Action 9,Action 10,Action to Next Point
2,67,-2,-2,-1,2,3,2,3,2,2,2,2
2,68,-2,-1,2,3,2,3,2,2,2,2,0
2,69,-1,2,3,2,3,2,2,2,2,0,-2
2,70,2,3,2,3,2,2,2,2,0,-2,-3
2,71,3,2,3,2,2,2,2,0,-2,-3,-3
2,72,2,3,2,2,2,2,0,-2,-3,-3,-2
2,73,3,2,2,2,2,0,-2,-3,-3,-2,1
2,74,2,2,2,2,0,-2,-3,-3,-2,1,2
2,75,2,2,2,0,-2,-3,-3,-2,1,2,2
2,76,2,2,0,-2,-3,-3,-2,1,2,2,-2
2,77,2,0,-2,-3,-3,-2,1,2,2,-2,-2
2,78,0,-2,-3,-3,-2,1,2,2,-2,-2,-2
2,79,-2,-3,-3,-2,1,2,2,-2,-2,-2,-2
2,80,-3,-3,-2,1,2,2,-2,-2,-2,-2,1
2,81,-3,-2,1,2,2,-2,-2,-2,-2,1,2
2,82,-2,1,2,2,-2,-2,-2,-2,1,2,2
2,83,1,2,2,-2,-2,-2,-2,1,2,2,3
2,84,2,2,-2,-2,-2,-2,1,2,2,3,2
2,85,2,-2,-2,-2,-2,1,2,2,3,2,2
2,86,-2,-2,-2,-2,1,2,2,3,2,2,2
2,87,-2,-2,-2,1,2,2,3,2,2,2,-1
2,88,-2,-2,1,2,2,3,2,2,2,-1,2
2,89,-2,1,2,2,3,2,2,2,-1,2,2
2,90,1,2,2,3,2,2,2,-1,2,2,-1
2,91,2,2,3,2,2,2,-1,2,2,-1,-2
2,92,2,3,2,2,2,-1,2,2,-1,-2,-2
2,93,3,2,2,2,-1,2,2,-1,-2,-2,-1
2,94,2,2,2,-1,2,2,-1,-2,-2,-1,-1
2,95,2,2,-1,2,2,-1,-2,-2,-1,-1,1
2,96,2,-1,2,2,-1,-2,-2,-1,-1,1,0
2,97,-1,2,2,-1,-2,-2,-1,-1,1,0,3
2,98,2,2,-1,-2,-2,-1,-1,1,0,3,-1
2,99,2,-1,-2,-2,-1,-1,1,0,3,-1,-2
2,100,-1,-2,-2,-1,-1,1,0,3,-1,-2,-2
2,101,-2,-2,-1,-1,1,0,3,-1,-2,-2,-2
2,102,-2,-1,-1,1,0,3,-1,-2,-2,-2,-2
2,103,-1,-1,1,0,3,-1,-2,-2,-2,-2,0
2,104,-1,1,0,3,-1,-2,-2,-2,-2,0,-1
2,105,1,0,3,-1,-2,-2,-2,-2,0,-1,0
2,106,0,3,-1,-2,-2,-2,-2,0,-1,0,1
2,107,3,-1,-2,-2,-2,-2,0,-1,0,1,2
2,108,-1,-2,-2,-2,-2,0,-1,0,1,2,0
2,109,-2,-2,-2,-2,0,-1,0,1,2,0,3
2,110,-2,-2,-2,0,-1,0,1,2,0,3,0
2,111,-2,-2,0,-1,0,1,2,0,3,0,-1
2,112,-2,0,-1,0,1,2,0,3,0,-1,-2
2,113,0,-1,0,1,2,0,3,0,-1,-2,-2
2,114,-1,0,1,2,0,3,0,-1,-2,-2,1
2,115,0,1,2,0,3,0,-1,-2,-2,1,2
2,116,1,2,0,3,0,-1,-2,-2,1,2,1
2,117,2,0,3,0,-1,-2,-2,1,2,1,2
2,118,0,3,0,-1,-2,-2,1,2,1,2,2
2,119,3,0,-1,-2,-2,1,2,1,2,2,2
2,120,0,-1,-2,-2,1,2,1,2,2,2,0
2,121,-1,-2,-2,1,2,1,2,2,2,0,2
2,122,-2,-2,1,2,1,2,2,2,0,2,2
2,123,-2,1,2,1,2,2,2,0,2,2,1
2,124,1,2,1,2,2,2,0,2,2,1,3
2,125,2,1,2,2,2,0,2,2,1,3,3
2,126,1,2,2,2,0,2,2,1,3,3,2
2,127,2,2,2,0,2,2,1,3,3,2,2
2,128,2,2,0,2,2,1,3,3,2,2,2
2,129,2,0,2,2,1,3,3,2,2,2,2
2,130,0,2,2,1,3,3,2,2,2,2,2
2,131,2,2,1,3,3,2,2,2,2,2,2
2,132,2,1,3,3,2,2,2,2,2,2,2
2,133,1,3,3,2,2,2,2,2,2,2,-2
2,134,3,3,2,2,2,2,2,2,2,-2,0
2,135,3,2,2,2,2,2,2,2,-2,0,0
2,136,2,2,2,2,2,2,2,-2,0,0,2
2,137,2,2,2,2,2,2,-2,0,0,2,2
2,138,2,2,2,2,2,-2,0,0,2,2,2
2,139,2,2,2,2,-2,0,0,2,2,2,2
2,140,2,2,2,-2,0,0,2,2,2,2,-1
2,141,2,2,-2,0,0,2,2,2,2,-1,-2
2,142,2,-2,0,0,2,2,2,2,-1,-2,-3
2,143,-2,0,0,2,2,2,2,-1,-2,-3,-2
2,144,0,0,2,2,2,2,-1,-2,-3,-2,-3
2,145,0,2,2,2,2,-1,-2,-3,-2,-3,-2
2,146,2,2,2,2,-1,-2,-3,-2,-3,-2,-2
2,147,2,2,2,-1,-2,-3,-2,-3,-2,-2,0
2,148,2,2,-1,-2,-3,-2,-3,-2,-2,0,3
2,149,2,-1,-2,-3,-2,-3,-2,-2,0,3,2
2,150,-1,-2,-3,-2,-3,-2,-2,0,3,2,2
2,151,-2,-3,-2,-3,-2,-2,0,3,2,2,2
2,152,-3,-2,-3,-2,-2,0,3,2,2,2,2
2,153,-2,-3,-2,-2,0,3,2,2,2,2,2
2,154,-3,-2,-2,0,3,2,2,2,2,2,-1
2,155,-2,-2,0,3,2,2,2,2,2,-1,-1
2,156,-2,0,3,2,2,2,2,2,-1,-1,1
2,157,0,3,2,2,2,2,2,-1,-1,1,2
