Region No,Group No,Action 1,Action 2,Action 3,Action 4,Action 5,Action to Next Point
2,69,-1,2,3,2,3,2
2,70,2,3,2,3,2,2
2,71,3,2,3,2,2,2
2,72,2,3,2,2,2,2
2,73,3,2,2,2,2,0
2,74,2,2,2,2,0,-2
2,75,2,2,2,0,-2,-3
2,76,2,2,0,-2,-3,-3
2,77,2,0,-2,-3,-3,-2
2,78,0,-2,-3,-3,-2,1
2,79,-2,-3,-3,-2,1,2
2,80,-3,-3,-2,1,2,2
2,81,-3,-2,1,2,2,-2
2,82,-2,1,2,2,-2,-2
2,83,1,2,2,-2,-2,-2
2,84,2,2,-2,-2,-2,-2
2,85,2,-2,-2,-2,-2,1
2,86,-2,-2,-2,-2,1,2
2,87,-2,-2,-2,1,2,2
2,88,-2,-2,1,2,2,3
2,89,-2,1,2,2,3,2
2,90,1,2,2,3,2,2
2,91,2,2,3,2,2,2
2,92,2,3,2,2,2,-1
2,93,3,2,2,2,-1,2
2,94,2,2,2,-1,2,2
2,95,2,2,-1,2,2,-1
2,96,2,-1,2,2,-1,-2
2,97,-1,2,2,-1,-2,-2
2,98,2,2,-1,-2,-2,-1
2,99,2,-1,-2,-2,-1,-1
2,100,-1,-2,-2,-1,-1,1
2,101,-2,-2,-1,-1,1,0
2,102,-2,-1,-1,1,0,3
2,103,-1,-1,1,0,3,-1
2,104,-1,1,0,3,-1,-2
2,105,1,0,3,-1,-2,-2
2,106,0,3,-1,-2,-2,-2
2,107,3,-1,-2,-2,-2,-2
2,108,-1,-2,-2,-2,-2,0
2,109,-2,-2,-2,-2,0,-1
2,110,-2,-2,-2,0,-1,0
2,111,-2,-2,0,-1,0,1
2,112,-2,0,-1,0,1,2
2,113,0,-1,0,1,2,0
2,114,-1,0,1,2,0,3
2,115,0,1,2,0,3,0
2,116,1,2,0,3,0,-1
2,117,2,0,3,0,-1,-2
2,118,0,3,0,-1,-2,-2
2,119,3,0,-1,-2,-2,1
2,120,0,-1,-2,-2,1,2
2,121,-1,-2,-2,1,2,1
2,122,-2,-2,1,2,1,2
2,123,-2,1,2,1,2,2
2,124,1,2,1,2,2,2
2,125,2,1,2,2,2,0
2,126,1,2,2,2,0,2
2,127,2,2,2,0,2,2
2,128,2,2,0,2,2,1
2,129,2,0,2,2,1,3
2,130,0,2,2,1,3,3
2,131,2,2,1,3,3,2
2,132,2,1,3,3,2,2
2,133,1,3,3,2,2,2
2,134,3,3,2,2,2,2
2,135,3,2,2,2,2,2
2,136,2,2,2,2,2,2
2,137,2,2,2,2,2,2
2,138,2,2,2,2,2,-2
2,139,2,2,2,2,-2,0
2,140,2,2,2,-2,0,0
2,141,2,2,-2,0,0,2
2,142,2,-2,0,0,2,2
2,143,-2,0,0,2,2,2
2,144,0,0,2,2,2,2
2,145,0,2,2,2,2,-1
2,146,2,2,2,2,-1,-2
2,147,2,2,2,-1,-2,-3
2,148,2,2,-1,-2,-3,-2
2,149,2,-1,-2,-3,-2,-3
2,150,-1,-2,-3,-2,-3,-2
2,151,-2,-3,-2,-3,-2,-2
2,152,-3,-2,-3,-2,-2,0
2,153,-2,-3,-2,-2,0,3
2,154,-3,-2,-2,0,3,2
2,155,-2,-2,0,3,2,2
2,156,-2,0,3,2,2,2
2,157,0,3,2,2,2,2
2,158,3,2,2,2,2,2
2,159,2,2,2,2,2,-1
2,160,2,2,2,2,-1,-1
2,161,2,2,2,-1,-1,1
2,162,2,2,-1,-1,1,2
2,163,2,-1,-1,1,2,2
2,164,-1,-1,1,2,2,-2
2,165,-1,1,2,2,-2,-1
2,166,1,2,2,-2,-1,-1
2,167,2,2,-2,-1,-1,-1
2,168,2,-2,-1,-1,-1,1
2,169,-2,-1,-1,-1,1,-3
2,170,-1,-1,-1,1,-3,1
2,171,-1,-1,1,-3,1,-2
2,172,-1,1,-3,1,-2,-2
2,173,1,-3,1,-2,-2,-3
2,174,-3,1,-2,-2,-3,-3
2,175,1,-2,-2,-3,-3,-1
2,176,-2,-2,-3,-3,-1,2
2,177,-2,-3,-3,-1,2,0
2,178,-3,-3,-1,2,0,3
2,179,-3,-1,2,0,3,0
2,180,-1,2,0,3,0,-1
2,181,2,0,3,0,-1,2
2,182,0,3,0,-1,2,2
2,183,3,0,-1,2,2,3
2,184,0,-1,2,2,3,3
2,185,-1,2,2,3,3,3
2,186,2,2,3,3,3,2
2,187,2,3,3,3,2,-2
2,188,3,3,3,2,-2,-2
2,189,3,3,2,-2,-2,-2
2,190,3,2,-2,-2,-2,-2
2,191,2,-2,-2,-2,-2,2
2,192,-2,-2,-2,-2,2,1
2,193,-2,-2,-2,2,1,0
2,194,-2,-2,2,1,0,-2
2,195,-2,2,1,0,-2,0
2,196,2,1,0,-2,0,-1
2,197,1,0,-2,0,-1,0
2,198,0,-2,0,-1,0,0
2,199,-2,0,-1,0,0,0
2,200,0,-1,0,0,0,-1
2,201,-1,0,0,0,-1,1
2,202,0,0,0,-1,1,2
2,203,0,0,-1,1,2,2
2,204,0,-1,1,2,2,2
2,205,-1,1,2,2,2,2
2,206,1,2,2,2,2,-1
2,207,2,2,2,2,-1,-2
2,208,2,2,2,-1,-2,-1
2,209,2,2,-1,-2,-1,2
2,210,2,-1,-2,-1,2,2
2,211,-1,-2,-1,2,2,2
2,212,-2,-1,2,2,2,1
2,213,-1,2,2,2,1,0
2,214,2,2,2,1,0,-1
2,215,2,2,1,0,-1,-2
2,216,2,1,0,-1,-2,-2
2,217,1,0,-1,-2,-2,-2
2,218,0,-1,-2,-2,-2,-2
2,219,-1,-2,-2,-2,-2,-1
2,220,-2,-2,-2,-2,-1,1
2,221,-2,-2,-2,-1,1,1
2,222,-2,-2,-1,1,1,2
2,223,-2,-1,1,1,2,0
2,224,-1,1,1,2,0,1
2,225,1,1,2,0,1,2
2,226,1,2,0,1,2,2
2,227,2,0,1,2,2,0
2,228,0,1,2,2,0,3
2,229,1,2,2,0,3,0
2,230,2,2,0,3,0,2
2,231,2,0,3,0,2,2
2,232,0,3,0,2,2,2
2,233,3,0,2,2,2,2
2,234,0,2,2,2,2,1
2,235,2,2,2,2,1,0
2,236,2,2,2,1,0,-1
2,237,2,2,1,0,-1,-1
2,238,2,1,0,-1,-1,1
2,239,1,0,-1,-1,1,-3
2,240,0,-1,-1,1,-3,-3
2,241,-1,-1,1,-3,-3,-1
2,242,-1,1,-3,-3,-1,1
2,243,1,-3,-3,-1,1,2
2,244,-3,-3,-1,1,2,0
2,245,-3,-1,1,2,0,-2
2,246,-1,1,2,0,-2,-2
2,247,1,2,0,-2,-2,-2
2,248,2,0,-2,-2,-2,2
2,249,0,-2,-2,-2,2,0
2,250,-2,-2,-2,2,0,0
2,251,-2,-2,2,0,0,-1
2,252,-2,2,0,0,-1,2
2,253,2,0,0,-1,2,2
2,254,0,0,-1,2,2,2
3,1,-1,-1,-2,2,2,2
3,2,-1,-2,2,2,2,0
3,3,-2,2,2,2,0,-2
3,4,2,2,2,0,-2,-2
3,5,2,2,0,-2,-2,-1
3,6,2,0,-2,-2,-1,-2
3,7,0,-2,-2,-1,-2,-2
3,8,-2,-2,-1,-2,-2,-2
3,9,-2,-1,-2,-2,-2,-3
3,10,-1,-2,-2,-2,-3,-2
3,11,-2,-2,-2,-3,-2,-2
3,12,-2,-2,-3,-2,-2,-1
3,13,-2,-3,-2,-2,-1,2
3,14,-3,-2,-2,-1,2,2
3,15,-2,-2,-1,2,2,2
3,16,-2,-1,2,2,2,0
3,17,-1,2,2,2,0,-2
3,18,2,2,2,0,-2,-2
3,19,2,2,0,-2,-2,-2
3,20,2,0,-2,-2,-2,-1
3,21,0,-2,-2,-2,-1,2
3,22,-2,-2,-2,-1,2,2
3,23,-2,-2,-1,2,2,2
3,24,-2,-1,2,2,2,2
3,25,-1,2,2,2,2,2
3,26,2,2,2,2,2,2
3,27,2,2,2,2,2,2
3,28,2,2,2,2,2,0
3,29,2,2,2,2,0,3
3,30,2,2,2,0,3,0
3,31,2,2,0,3,0,2
3,32,2,0,3,0,2,2
3,33,0,3,0,2,2,2
3,34,3,0,2,2,2,3
3,35,0,2,2,2,3,2
3,36,2,2,2,3,2,-2
3,37,2,2,3,2,-2,-3
3,38,2,3,2,-2,-3,-2
3,39,3,2,-2,-3,-2,0
3,40,2,-2,-3,-2,0,2
3,41,-2,-3,-2,0,2,-1
3,42,-3,-2,0,2,-1,-2
3,43,-2,0,2,-1,-2,0
3,44,0,2,-1,-2,0,2
3,45,2,-1,-2,0,2,2
3,46,-1,-2,0,2,2,2
3,47,-2,0,2,2,2,1
3,48,0,2,2,2,1,2
3,49,2,2,2,1,2,2
3,50,2,2,1,2,2,1
3,51,2,1,2,2,1,3
3,52,1,2,2,1,3,-2
3,53,2,2,1,3,-2,1
3,54,2,1,3,-2,1,-3
3,55,1,3,-2,1,-3,2
3,56,3,-2,1,-3,2,2
3,57,-2,1,-3,2,2,2
3,58,1,-3,2,2,2,-2
3,59,-3,2,2,2,-2,-2
3,60,2,2,2,-2,-2,0
3,61,2,2,-2,-2,0,-3
3,62,2,-2,-2,0,-3,2
3,63,-2,-2,0,-3,2,2
3,64,-2,0,-3,2,2,2
3,65,0,-3,2,2,2,2
3,66,-3,2,2,2,2,2
3,67,2,2,2,2,2,2
3,68,2,2,2,2,2,2
3,69,2,2,2,2,2,2
3,70,2,2,2,2,2,3
3,71,2,2,2,2,3,2
3,72,2,2,2,3,2,2
3,73,2,2,3,2,2,-1
3,74,2,3,2,2,-1,2
3,75,3,2,2,-1,2,2
3,76,2,2,-1,2,2,0
3,77,2,-1,2,2,0,3
3,78,-1,2,2,0,3,1
3,79,2,2,0,3,1,-1
3,80,2,0,3,1,-1,2
3,81,0,3,1,-1,2,-3
3,82,3,1,-1,2,-3,-1
3,83,1,-1,2,-3,-1,2
3,84,-1,2,-3,-1,2,2
3,85,2,-3,-1,2,2,2
3,86,-3,-1,2,2,2,2
3,87,-1,2,2,2,2,1
3,88,2,2,2,2,1,-1
3,89,2,2,2,1,-1,0
3,90,2,2,1,-1,0,-2
3,91,2,1,-1,0,-2,-2
3,92,1,-1,0,-2,-2,-2
3,93,-1,0,-2,-2,-2,-2
3,94,0,-2,-2,-2,-2,2
3,95,-2,-2,-2,-2,2,-3
3,96,-2,-2,-2,2,-3,-1
3,97,-2,-2,2,-3,-1,-2
3,98,-2,2,-3,-1,-2,1
3,99,2,-3,-1,-2,1,1
3,100,-3,-1,-2,1,1,0
3,101,-1,-2,1,1,0,-3
3,102,-2,1,1,0,-3,2
3,103,1,1,0,-3,2,0
3,104,1,0,-3,2,0,2
3,105,0,-3,2,0,2,2
3,106,-3,2,0,2,2,2
3,107,2,0,2,2,2,1
3,108,0,2,2,2,1,3
3,109,2,2,2,1,3,-1
3,110,2,2,1,3,-1,2
3,111,2,1,3,-1,2,2
3,112,1,3,-1,2,2,-2
3,113,3,-1,2,2,-2,-2
3,114,-1,2,2,-2,-2,-2
3,115,2,2,-2,-2,-2,-2
3,116,2,-2,-2,-2,-2,-2
3,117,-2,-2,-2,-2,-2,-2
3,118,-2,-2,-2,-2,-2,2
3,119,-2,-2,-2,-2,2,2
3,120,-2,-2,-2,2,2,2
3,121,-2,-2,2,2,2,2
3,122,-2,2,2,2,2,1
3,123,2,2,2,2,1,3
3,124,2,2,2,1,3,-2
3,125,2,2,1,3,-2,2
3,126,2,1,3,-2,2,-2
3,127,1,3,-2,2,-2,-1
3,128,3,-2,2,-2,-1,-2
3,129,-2,2,-2,-1,-2,-2
3,130,2,-2,-1,-2,-2,0
