Total errors 18120

06/04/2020 | Meeting Friends/Family (outdoor)         | Spain
06/04/2020 | Domestic Travel                          | Spain
06/04/2020 | Cafes and Restaurants                    | Spain
06/04/2020 | Pubs and bars                            | Spain
06/04/2020 | Sports and leisure                       | Spain
06/04/2020 | Schools Closure                          | Spain
06/05/2020 | Meeting Friends/Family (indoor)          | Spain
06/05/2020 | Meeting Friends/Family (outdoor)         | Spain
06/05/2020 | Domestic Travel                          | Spain
06/05/2020 | Cafes and Restaurants                    | Spain
06/05/2020 | Pubs and bars                            | Spain
06/05/2020 | Sports and leisure                       | Spain
06/05/2020 | Schools Closure                          | Spain
06/06/2020 | Meeting Friends/Family (indoor)          | Spain
06/06/2020 | Meeting Friends/Family (outdoor)         | Spain
06/06/2020 | Domestic Travel                          | Spain
06/06/2020 | Cafes and Restaurants                    | Spain
06/06/2020 | Pubs and bars                            | Spain
06/06/2020 | Sports and leisure                       | Spain
06/06/2020 | Schools Closure                          | Spain
06/07/2020 | Meeting Friends/Family (indoor)          | Spain
06/07/2020 | Meeting Friends/Family (outdoor)         | Spain
06/07/2020 | Domestic Travel                          | Spain
06/07/2020 | Cafes and Restaurants                    | Spain
06/07/2020 | Pubs and bars                            | Spain
06/07/2020 | Sports and leisure                       | Spain
06/07/2020 | Schools Closure                          | Spain
06/08/2020 | Meeting Friends/Family (indoor)          | Spain
06/08/2020 | Meeting Friends/Family (outdoor)         | Spain
06/08/2020 | Domestic Travel                          | Spain
06/08/2020 | Cafes and Restaurants                    | Spain
06/08/2020 | Pubs and bars                            | Spain
06/08/2020 | Sports and leisure                       | Spain
06/08/2020 | Schools Closure                          | Spain
06/09/2020 | Meeting Friends/Family (indoor)          | Spain
06/09/2020 | Meeting Friends/Family (outdoor)         | Spain
06/09/2020 | Domestic Travel                          | Spain
06/09/2020 | Cafes and Restaurants                    | Spain
06/09/2020 | Pubs and bars                            | Spain
06/09/2020 | Sports and leisure                       | Spain
06/09/2020 | Schools Closure                          | Spain
06/10/2020 | Meeting Friends/Family (indoor)          | Spain
06/10/2020 | Meeting Friends/Family (outdoor)         | Spain
06/10/2020 | Domestic Travel                          | Spain
06/10/2020 | Cafes and Restaurants                    | Spain
06/10/2020 | Pubs and bars                            | Spain
06/10/2020 | Sports and leisure                       | Spain
06/10/2020 | Schools Closure                          | Spain
06/11/2020 | Meeting Friends/Family (indoor)          | Spain
06/11/2020 | Meeting Friends/Family (outdoor)         | Spain
06/11/2020 | Domestic Travel                          | Spain
06/11/2020 | Cafes and Restaurants                    | Spain
06/11/2020 | Pubs and bars                            | Spain
06/11/2020 | Sports and leisure                       | Spain
06/11/2020 | Schools Closure                          | Spain
06/12/2020 | Meeting Friends/Family (indoor)          | Spain
06/12/2020 | Meeting Friends/Family (outdoor)         | Spain
06/12/2020 | Domestic Travel                          | Spain
06/12/2020 | Cafes and Restaurants                    | Spain
06/12/2020 | Pubs and bars                            | Spain
06/12/2020 | Sports and leisure                       | Spain
06/12/2020 | Schools Closure                          | Spain
06/13/2020 | Meeting Friends/Family (indoor)          | Spain
06/13/2020 | Meeting Friends/Family (outdoor)         | Spain
06/13/2020 | Domestic Travel                          | Spain
06/13/2020 | Cafes and Restaurants                    | Spain
06/13/2020 | Pubs and bars                            | Spain
06/13/2020 | Sports and leisure                       | Spain
06/13/2020 | Schools Closure                          | Spain
06/14/2020 | Meeting Friends/Family (indoor)          | Spain
06/14/2020 | Meeting Friends/Family (outdoor)         | Spain
06/14/2020 | Domestic Travel                          | Spain
06/14/2020 | Cafes and Restaurants                    | Spain
06/14/2020 | Pubs and bars                            | Spain
