Regions,Cases,Cumulative Cases,Deaths,Cumulative Deaths,Tests,Cumulative Tests,Meeting Friends/Family (Indoor),Meeting Friends/Family (Outdoor),Domestic Travel,International Travel,Cafes and Restaurants,Pubs and Bars,Sports and Leisure,Hospitals/ Care and Nursing Home Visits,Non-Essential Shops,School Closure,Temperature,Humidity
1,143,17096,14,2616,143,17096,2,2,2,2,3,3,3,3,1,0,2,1
1,172,16953,19,2602,172,16953,2,2,2,2,3,3,3,3,1,0,2,2
1,218,16781,13,2583,218,16781,2,2,2,2,3,3,3,3,1,0,2,1
1,217,16563,17,2570,217,16563,2,2,2,2,3,3,3,3,1,0,2,1
1,149,16346,13,2553,149,16346,2,2,2,2,3,3,3,3,1,1,2,1
1,139,16197,17,2540,139,16197,2,2,2,2,3,3,3,3,1,1,2,1
1,170,16058,11,2523,170,16058,2,2,2,2,3,3,3,3,1,1,2,1
1,191,15888,19,2512,191,15888,2,2,2,2,3,3,3,3,1,1,2,1
1,197,15697,20,2493,197,15697,2,2,2,2,3,3,3,3,1,1,2,1
1,160,15500,23,2473,160,15500,2,2,2,2,3,3,3,3,1,1,2,1
1,192,15340,19,2450,192,15340,2,2,2,2,3,3,3,3,1,1,2,1
1,145,15148,14,2431,145,15148,2,2,2,2,3,3,3,3,1,1,2,1
1,164,15003,29,2417,164,15003,2,2,2,2,3,3,3,3,1,1,2,1
1,240,14839,21,2388,240,14839,2,2,2,2,3,3,3,3,1,1,2,1
1,281,14599,25,2367,281,14599,2,2,2,3,3,3,3,3,1,1,2,1
1,274,14318,23,2342,274,14318,2,2,2,3,3,3,3,3,1,1,2,1
1,293,14044,22,2319,293,14044,2,2,2,3,3,3,3,3,1,1,2,1
1,272,13751,27,2297,272,13751,2,2,2,3,3,3,3,3,1,1,2,1
1,203,13479,16,2270,203,13479,2,2,2,3,3,3,3,3,1,1,2,1
1,257,13276,23,2254,257,13276,2,2,2,3,3,3,3,3,1,1,2,1
1,252,13019,18,2231,252,13019,2,2,2,3,3,3,3,3,1,1,1,1
1,226,12767,30,2213,226,12767,2,2,2,3,3,3,3,3,1,1,1,1
1,298,12541,15,2183,298,12541,2,2,2,3,3,3,3,3,1,1,1,1
1,322,12243,33,2168,322,12243,2,2,2,3,3,3,3,3,1,1,1,1
1,308,11921,29,2135,308,11921,2,2,2,3,3,3,3,3,1,1,1,1
1,199,11613,24,2106,199,11613,2,2,2,3,3,3,3,3,1,1,1,1
1,176,11414,35,2082,176,11414,3,3,3,3,3,3,3,3,1,1,2,1
1,268,11238,30,2047,268,11238,3,3,3,3,3,3,3,3,1,1,2,1
1,313,10970,32,2017,313,10970,3,3,3,3,3,3,3,3,1,1,2,1
1,334,10657,35,1985,334,10657,3,3,3,3,3,3,3,3,1,1,1,1
1,284,10323,39,1950,284,10323,3,3,3,3,3,3,3,3,1,1,1,1
1,235,10039,42,1911,235,10039,3,3,3,3,3,3,3,3,1,1,1,2
1,169,9804,40,1869,169,9804,3,3,3,3,3,3,3,3,1,1,1,1
1,198,9635,34,1829,198,9635,3,3,3,3,3,3,3,3,1,1,1,1
1,294,9437,40,1795,294,9437,3,3,3,3,3,3,3,3,1,1,1,1
1,294,9143,42,1755,294,9143,3,3,3,3,3,3,3,3,1,1,1,2
1,378,8849,50,1713,378,8849,3,3,3,3,3,3,3,3,1,1,1,2
1,272,8471,43,1663,272,8471,3,3,3,3,3,3,3,3,1,1,1,2
1,319,8199,45,1620,319,8199,3,3,3,3,3,3,3,3,1,1,2,1
1,242,7880,46,1575,242,7880,3,3,3,3,3,3,3,3,1,1,2,1
1,246,7638,41,1529,246,7638,3,3,3,3,3,3,3,3,1,1,2,1
1,298,7392,41,1488,298,7392,3,3,3,3,3,3,3,3,1,1,2,1
1,269,7094,50,1447,269,7094,3,3,3,3,3,3,3,3,1,1,2,1
1,334,6825,38,1397,334,6825,3,3,3,3,3,3,3,3,1,1,2,1
1,219,6491,38,1359,219,6491,3,3,3,3,3,3,3,3,1,1,2,1
1,187,6272,63,1321,187,6272,3,3,3,3,3,3,3,3,1,1,1,1
1,246,6085,50,1258,246,6085,3,3,3,3,3,3,3,3,1,1,1,1
1,195,5839,49,1208,195,5839,3,3,3,3,3,3,3,3,1,1,1,2
1,255,5644,60,1159,255,5644,3,3,3,3,3,3,3,3,1,1,1,1
1,267,5389,32,1099,267,5389,3,3,3,3,3,3,3,3,1,1,2,1
1,217,5122,65,1067,217,5122,3,3,3,3,3,3,3,3,1,1,2,1
1,210,4905,60,1002,210,4905,3,3,3,3,3,3,3,3,1,1,1,1
1,172,4695,48,942,172,4695,3,3,3,3,3,3,3,3,1,1,1,1
1,214,4523,57,894,214,4523,3,3,3,3,3,3,3,3,1,1,2,1
1,174,4309,63,837,174,4309,3,3,3,3,3,3,3,3,1,1,2,1
1,172,4135,57,774,172,4135,3,3,3,3,3,3,3,3,1,1,2,1
1,233,3963,65,717,233,3963,3,3,3,3,3,3,3,3,1,1,2,1
