Regions,Cases,Cumulative Cases,Deaths,Cumulative Deaths,Tests,Cumulative Tests,Meeting Friends/Family (Indoor) (Low),Meeting Friends/Family (Indoor) (Moderate),Meeting Friends/Family (Indoor) (High),Meeting Friends/Family (Outdoor) (Low),Meeting Friends/Family (Outdoor) (Moderate),Meeting Friends/Family (Outdoor) (High),Domestic Travel (Low),Domestic Travel (Moderate),Domestic Travel (High),International Travel (Low),International Travel (Moderate),International Travel (High),Cafes and Restaurants (Low),Cafes and Restaurants (Moderate),Cafes and Restaurants (High),Pubs and Bars (Low),Pubs and Bars (Moderate),Pubs and Bars (High),Sports and Leisure (Low),Sports and Leisure (Moderate),Sports and Leisure (High),School Closure,Non-Essential Shops,Hospitals/ Care and Nursing Home Visits (Low),Hospitals/ Care and Nursing Home Visits (Moderate),Hospitals/ Care and Nursing Home Visits (High),Temperature,Humidity,Rt
1,1249,39739,4,3008,1158,39602,38,33,0,38,33,0,38,0,0,38,33,0,38,3,0,38,3,0,38,3,0,0,0,38,33,0,2,2,2.0495967907625383
1,1127,38490,7,3004,1020,38444,38,33,0,38,33,0,38,0,0,38,33,0,38,2,0,38,2,0,38,2,0,0,0,38,33,0,2,2,2.1335603176121802
1,1089,37363,1,2997,1201,37424,38,33,0,38,33,0,38,0,0,38,33,0,38,2,0,38,2,0,38,2,0,0,0,38,33,0,2,2,2.406326563237453
1,1039,36274,2,2996,1046,36223,38,33,0,38,33,0,38,0,0,38,33,0,38,2,0,38,2,0,38,2,0,0,0,38,33,0,1,2,2.459947103603563
1,840,35235,2,2994,871,35177,38,32,0,38,32,0,38,0,0,38,32,0,38,2,0,38,2,0,38,2,0,0,0,38,32,0,2,2,2.459947103603563
1,679,34395,3,2992,604,34306,37,32,0,37,32,0,37,0,0,37,32,0,37,2,0,37,2,0,37,2,0,0,0,37,32,0,2,1,2.1977006730910245
1,520,33716,1,2989,560,33702,37,32,0,37,32,0,37,0,0,37,32,0,37,2,0,37,2,0,37,2,0,0,0,37,32,0,2,2,1.8065198024874747
1,426,33196,4,2988,396,33142,37,32,0,37,32,0,37,0,0,37,32,0,37,1,0,37,1,0,37,1,0,0,0,37,32,0,1,1,1.5585715003135314
1,349,32770,1,2984,323,32746,37,32,0,37,32,0,37,0,0,37,32,0,37,1,0,37,1,0,37,1,0,0,0,37,32,0,1,1,1.3289847562155503
1,327,32421,3,2983,327,32423,37,32,0,37,32,0,37,0,0,37,32,0,37,1,0,37,1,0,37,1,0,0,0,37,32,0,1,1,1.2931456615025112
1,319,32094,3,2980,333,32096,37,31,0,37,31,0,37,0,0,37,31,0,37,1,0,37,1,0,37,1,0,0,0,37,31,0,1,2,1.2931456615025112
1,299,31775,1,2977,296,31763,36,31,0,36,31,0,36,0,0,36,31,0,36,1,0,36,1,0,36,1,0,0,0,36,31,0,2,2,1.269328013834349
1,286,31476,3,2976,269,31467,36,31,0,36,31,0,36,0,0,36,31,0,36,1,0,36,1,0,36,1,0,0,0,36,31,0,2,1,1.2548732256291661
1,275,31190,3,2973,292,31198,36,31,0,36,31,0,36,0,0,36,31,0,36,0,0,36,0,0,36,0,0,0,0,36,31,0,2,1,1.2457894762257582
1,269,30915,0,2970,265,30906,36,31,0,36,31,0,36,0,0,36,31,0,36,0,0,36,0,0,36,0,0,0,0,36,31,0,2,1,1.2457894762257582
1,257,30646,2,2970,248,30641,36,31,0,36,31,0,36,0,0,36,31,0,36,0,0,36,0,0,36,0,0,0,0,36,31,0,2,2,1.2426217671398667
1,253,30389,1,2968,259,30393,36,30,0,36,30,0,36,0,0,36,30,0,36,0,0,36,0,0,36,0,0,0,0,36,30,0,2,1,1.2426217671398667
1,251,30136,0,2967,252,30134,35,30,0,35,30,0,35,0,0,35,30,0,35,0,0,35,0,0,35,0,0,0,0,35,30,0,2,1,1.2426217671398667
1,234,29885,1,2967,243,29882,35,30,0,35,30,0,35,0,0,35,30,0,35,0,0,35,0,0,35,0,0,0,0,35,30,0,2,2,1.168038310407308
