Regions,Cases,Cumulative Cases,Deaths,Cumulative Deaths,Tests,Cumulative Tests,Meeting Friends/Family (Indoor) (Low),Meeting Friends/Family (Indoor) (Moderate),Meeting Friends/Family (Indoor) (High),Meeting Friends/Family (Outdoor) (Low),Meeting Friends/Family (Outdoor) (Moderate),Meeting Friends/Family (Outdoor) (High),Domestic Travel (Low),Domestic Travel (Moderate),Domestic Travel (High),International Travel (Low),International Travel (Moderate),International Travel (High),Cafes and Restaurants (Low),Cafes and Restaurants (Moderate),Cafes and Restaurants (High),Pubs and Bars (Low),Pubs and Bars (Moderate),Pubs and Bars (High),Sports and Leisure (Low),Sports and Leisure (Moderate),Sports and Leisure (High),School Closure,Non-Essential Shops,Hospitals/ Care and Nursing Home Visits (Low),Hospitals/ Care and Nursing Home Visits (Moderate),Hospitals/ Care and Nursing Home Visits (High),Temperature,Humidity
1,1271,141562,57,4727,1271,141583,48,42,3,48,42,3,48,3,3,48,42,0,48,9,3,48,9,3,48,3,3,43,43,48,42,0,1,1
1,1444,140220,44,4662,1444,140261,48,42,3,48,42,3,48,3,3,48,42,0,48,9,3,48,9,3,48,3,3,43,43,48,42,0,1,2
1,795,139035,45,4618,795,138817,48,39,3,48,39,3,48,3,3,48,39,0,48,9,3,48,9,3,48,3,3,43,42,48,39,0,1,2
1,873,138000,52,4573,873,138029,47,39,3,47,39,3,47,3,3,47,39,0,47,9,3,47,9,3,47,9,3,43,42,47,39,0,1,2
1,1122,137073,50,4521,1122,137156,47,39,3,47,39,3,47,3,3,47,39,0,47,9,3,47,9,3,47,9,3,42,42,47,39,0,1,2
1,1165,136019,51,4471,1165,136034,47,39,3,47,39,3,47,3,3,47,39,0,47,9,3,47,9,3,47,9,3,42,42,47,39,0,1,2
1,1343,134809,48,4420,1343,134869,47,39,3,47,39,3,47,3,3,47,39,0,47,9,3,47,9,3,47,9,3,42,42,47,39,0,1,2
1,1458,133487,50,4372,1458,133526,47,39,3,47,39,3,47,3,3,47,39,0,47,9,3,47,9,3,47,9,3,42,42,47,39,0,1,2
1,1629,132011,50,4322,1629,132068,47,39,0,47,39,0,47,0,0,47,39,0,47,9,0,47,9,0,47,0,0,42,41,47,39,0,1,2
1,1010,130645,56,4272,1010,130439,46,39,0,46,39,0,46,0,0,46,39,0,46,9,0,46,9,0,46,0,0,42,41,46,39,0,1,2
1,1095,129400,40,4216,1095,129429,46,39,0,46,39,0,46,0,0,46,39,0,46,9,0,46,9,0,46,0,0,41,41,46,39,0,2,2
1,1471,128208,44,4176,1471,128334,46,39,0,46,39,0,46,0,0,46,39,0,46,9,0,46,9,0,46,0,0,41,41,46,39,0,1,2
1,1495,126855,49,4132,1495,126863,46,39,0,46,39,0,46,0,0,46,39,0,46,9,0,46,9,0,46,0,0,41,41,46,39,0,1,1
1,1833,125255,56,4083,1833,125368,46,39,0,46,39,0,46,0,0,46,39,0,46,9,0,46,9,0,46,0,0,41,41,46,39,0,2,2
1,2109,123443,44,4027,2109,123535,46,39,0,46,39,0,46,0,0,46,39,0,46,9,0,46,9,0,46,0,0,41,40,46,39,0,2,2
1,2579,121269,46,3983,2579,121426,45,39,0,45,39,0,45,0,0,45,39,0,45,9,0,45,9,0,45,0,0,41,40,45,39,0,1,2
